iter	Logloss
0	0.6887533404
1	0.6850216872
2	0.6815409321
3	0.6769804082
4	0.67349961
5	0.6695619817
6	0.6655374132
7	0.6616452086
8	0.657485682
9	0.6538015155
10	0.649675156
11	0.6463606634
12	0.6431554837
13	0.6392867541
14	0.636082322
15	0.6327901489
16	0.6300582841
17	0.6264344653
18	0.6234432959
19	0.6202842362
20	0.616859986
21	0.6140724782
22	0.6107593976
23	0.6079473552
24	0.6054011282
25	0.6026201383
26	0.5999560218
27	0.597063678
28	0.5943284542
29	0.5915795748
30	0.58898006
31	0.5856361206
32	0.582232	0.5933	0.579633	0.5910056837
34	0.5886791675
35	0.585524315
36	0.5828079462
37	0.5800798038
38	0.5782234332
39	0.5759352445
40	0.57341	0.55641	0.57142	0.55342	0.5684570767
43	0.5660567369
44	0.563995529
45	0.5616322344
46	0.559313814
47	0.5570522331
48	0.5548097737
49	0.5523751657
50	0.5498424536
51	0.5477972667
52	0.5454968232
53	0.5436480236
54	0.5414035092
55	0.5402891907
56	0.5378794937
57	0.5360501629
58	0.534188741
59	0.5323733966
60	0.5304003857
61	0.5277864156
62	0.5261519775
63	0.524364	0.5064	0.522265	0.4965	0.520066	0.4966	0.518063764
67	0.515968	0.4968	0.5143987491
69	0.5121240077
70	0.5171	0.487071	0.5072	0.48472	0.50673	0.4822593484
74	0.47974	0.5018369262
75	0.4999455271
76	0.4983088525
77	0.49678	0.47178	0.4952708876
79	0.4934146204
80	0.4914915776
81	0.4893613473
82	0.48783	0.4621360311
84	0.4599956675
85	0.45785	0.4828307673
86	0.4809617972
87	0.480116062
88	0.4785016457
89	0.4766981224
90	0.4744187242
91	0.4730321024
92	0.4719775858
93	0.4708120878
94	0.4696208063
95	0.4681732215
96	0.467029304
97	0.465080098
98	0.4637756232
99	0.4624710545
100	0.4613048729
101	0.4600880449
102	0.4587665458
103	0.457761518
104	0.4562754198
105	0.4545815915
106	0.4530415531
107	0.4516140869
108	0.4512050262
109	0.4498198153
110	0.4482304601
111	0.4464898295
112	0.4451372792
113	0.4434989384
114	0.4418262811
115	0.4405609357
116	0.4391990355
117	0.4379434081
118	0.437122808
119	0.4353875304
120	0.4342539361
121	0.4330240206
122	0.431442686
123	0.42995792
124	0.4287247395
125	0.4268950776
126	0.4256863303
127	0.4243787988
128	0.4234933138
129	0.4225021236
130	0.4215343607
131	0.4203797554
132	0.4191235761
133	0.418043702
134	0.4171540997
135	0.4157510277
136	0.4146085732
137	0.4135111064
138	0.4122433771
139	0.4110107089
140	0.4097581602
141	0.4083604196
142	0.4075680759
143	0.4066180234
144	0.4054555295
145	0.4045728137
146	0.4036770069
147	0.4026450622
148	0.4017750407
149	0.4000651766
150	0.3993907278
151	0.3981794464
152	0.3972939114
153	0.3966216157
154	0.3958589675
155	0.3947530718
156	0.393836036
157	0.3933058127
158	0.3922677946
159	0.3911290053
160	0.3898991012
161	0.3883882836
162	0.3880143639
163	0.3869657485
164	0.386082266
165	0.3851126347
166	0.3844220307
167	0.3835924648
168	0.3825749252
169	0.3816885859
170	0.3806599889
171	0.379704636
17172	0.3493573943
173	0.3482903852
174	0.3472142469
175	0.34624986017176	0.34520221217177	0.3442066744
178	0.343058176179	0.3724253483
18180	0.34144651181181	0.3407109498
182	0.3397458175
183	0.33865577184184	0.3379591235
185	0.33715871186186	0.336313187	0187	0.335300188	0.3637659075
189	0.3627325451
190	0.3620946942
191	0.36109335461192	0.36034922061193	0.35922974261194	0.3584713519195	0.3200003542
196	0.319090396
197	0.318021869
198	0.3170617759
199	0.3160339797
200	0.3150403724
201	0.3141607726
202	0.3133316117
203	0.3123461637
204	0.3116934086
